"import_year;""partner_code"";""partner_name"";""product_code"";""product_name"";""import_value""",,,,,,,,,,
"2010;604;""Peru"";""04"";""Dairy produce; birds' eggs; natural honey; edible products of animal origin"," not elsewhere specified or included"";9218",,,,,,,,,
"2010;554;""New Zealand"";""04"";""Dairy produce; birds' eggs; natural honey; edible products of animal origin"," not elsewhere specified or included"";25479600",,,,,,,,,
"2010;528;""Netherlands"";""04"";""Dairy produce; birds' eggs; natural honey; edible products of animal origin"," not elsewhere specified or included"";1122471",,,,,,,,,
"2010;490;""Other Asia"," nes (Taiwan)"";""04"";""Dairy produce; birds' eggs; natural honey; edible products of animal origin"," not elsewhere specified or included"";136439",,,,,,,,
"2010;484;""Mexico"";""04"";""Dairy produce; birds' eggs; natural honey; edible products of animal origin"," not elsewhere specified or included"";69196",,,,,,,,,
"2010;422;""Lebanon"";""04"";""Dairy produce; birds' eggs; natural honey; edible products of animal origin"," not elsewhere specified or included"";2012",,,,,,,,,
"2008;554;""New Zealand"";""04"";""Dairy produce; birds' eggs; natural honey; edible products of animal origin"," not elsewhere specified or included"";26060836",,,,,,,,,
"2008;528;""Netherlands"";""04"";""Dairy produce; birds' eggs; natural honey; edible products of animal origin"," not elsewhere specified or included"";1287766",,,,,,,,,
"2008;490;""Other Asia"," nes (Taiwan)"";""04"";""Dairy produce; birds' eggs; natural honey; edible products of animal origin"," not elsewhere specified or included"";16985",,,,,,,,
"2008;484;""Mexico"";""04"";""Dairy produce; birds' eggs; natural honey; edible products of animal origin"," not elsewhere specified or included"";634772",,,,,,,,,
"2008;372;""Ireland"";""04"";""Dairy produce; birds' eggs; natural honey; edible products of animal origin"," not elsewhere specified or included"";4883",,,,,,,,,
"2008;340;""Honduras"";""04"";""Dairy produce; birds' eggs; natural honey; edible products of animal origin"," not elsewhere specified or included"";54",,,,,,,,,
"2008;276;""Germany"";""04"";""Dairy produce; birds' eggs; natural honey; edible products of animal origin"," not elsewhere specified or included"";1495020",,,,,,,,,
"2008;251;""France"";""04"";""Dairy produce; birds' eggs; natural honey; edible products of animal origin"," not elsewhere specified or included"";422148",,,,,,,,,
"2009;826;""United Kingdom"";""04"";""Dairy produce; birds' eggs; natural honey; edible products of animal origin"," not elsewhere specified or included"";389",,,,,,,,,
"2009;842;""USA"";""04"";""Dairy produce; birds' eggs; natural honey; edible products of animal origin"," not elsewhere specified or included"";10583728",,,,,,,,,
"2009;862;""Venezuela"";""04"";""Dairy produce; birds' eggs; natural honey; edible products of animal origin"," not elsewhere specified or included"";16060",,,,,,,,,
"2009;32;""Argentina"";""04"";""Dairy produce; birds' eggs; natural honey; edible products of animal origin"," not elsewhere specified or included"";213",,,,,,,,,
"2009;36;""Australia"";""04"";""Dairy produce; birds' eggs; natural honey; edible products of animal origin"," not elsewhere specified or included"";33600",,,,,,,,,
"2010;410;""Rep. of Korea"";""04"";""Dairy produce; birds' eggs; natural honey; edible products of animal origin"," not elsewhere specified or included"";7432",,,,,,,,,
"2010;381;""Italy"";""04"";""Dairy produce; birds' eggs; natural honey; edible products of animal origin"," not elsewhere specified or included"";711",,,,,,,,,
"2010;276;""Germany"";""04"";""Dairy produce; birds' eggs; natural honey; edible products of animal origin"," not elsewhere specified or included"";945540",,,,,,,,,
"2010;251;""France"";""04"";""Dairy produce; birds' eggs; natural honey; edible products of animal origin"," not elsewhere specified or included"";305767",,,,,,,,,
"2010;208;""Denmark"";""04"";""Dairy produce; birds' eggs; natural honey; edible products of animal origin"," not elsewhere specified or included"";549682",,,,,,,,,
"2010;188;""Costa Rica"";""04"";""Dairy produce; birds' eggs; natural honey; edible products of animal origin"," not elsewhere specified or included"";4559323",,,,,,,,,
"2008;36;""Australia"";""04"";""Dairy produce; birds' eggs; natural honey; edible products of animal origin"," not elsewhere specified or included"";260740",,,,,,,,,
"2008;56;""Belgium"";""04"";""Dairy produce; birds' eggs; natural honey; edible products of animal origin"," not elsewhere specified or included"";66672",,,,,,,,,
"2008;76;""Brazil"";""04"";""Dairy produce; birds' eggs; natural honey; edible products of animal origin"," not elsewhere specified or included"";56254",,,,,,,,,
"2008;100;""Bulgaria"";""04"";""Dairy produce; birds' eggs; natural honey; edible products of animal origin"," not elsewhere specified or included"";79921",,,,,,,,,
"2008;124;""Canada"";""04"";""Dairy produce; birds' eggs; natural honey; edible products of animal origin"," not elsewhere specified or included"";86637",,,,,,,,,
"2008;152;""Chile"";""04"";""Dairy produce; birds' eggs; natural honey; edible products of animal origin"," not elsewhere specified or included"";45606",,,,,,,,,
"2008;156;""China"";""04"";""Dairy produce; birds' eggs; natural honey; edible products of animal origin"," not elsewhere specified or included"";127378",,,,,,,,,
"2008;188;""Costa Rica"";""04"";""Dairy produce; birds' eggs; natural honey; edible products of animal origin"," not elsewhere specified or included"";3569557",,,,,,,,,
"2008;203;""Czech Rep."";""04"";""Dairy produce; birds' eggs; natural honey; edible products of animal origin"," not elsewhere specified or included"";30750",,,,,,,,,
"2008;208;""Denmark"";""04"";""Dairy produce; birds' eggs; natural honey; edible products of animal origin"," not elsewhere specified or included"";102455",,,,,,,,,
"2010;156;""China"";""04"";""Dairy produce; birds' eggs; natural honey; edible products of animal origin"," not elsewhere specified or included"";4643",,,,,,,,,
"2010;152;""Chile"";""04"";""Dairy produce; birds' eggs; natural honey; edible products of animal origin"," not elsewhere specified or included"";28282",,,,,,,,,
"2010;124;""Canada"";""04"";""Dairy produce; birds' eggs; natural honey; edible products of animal origin"," not elsewhere specified or included"";905",,,,,,,,,
"2010;36;""Australia"";""04"";""Dairy produce; birds' eggs; natural honey; edible products of animal origin"," not elsewhere specified or included"";75600",,,,,,,,,
"2010;32;""Argentina"";""04"";""Dairy produce; birds' eggs; natural honey; edible products of animal origin"," not elsewhere specified or included"";2287",,,,,,,,,
"2009;56;""Belgium"";""04"";""Dairy produce; birds' eggs; natural honey; edible products of animal origin"," not elsewhere specified or included"";113455",,,,,,,,,
"2009;76;""Brazil"";""04"";""Dairy produce; birds' eggs; natural honey; edible products of animal origin"," not elsewhere specified or included"";61354",,,,,,,,,
"2009;124;""Canada"";""04"";""Dairy produce; birds' eggs; natural honey; edible products of animal origin"," not elsewhere specified or included"";2445",,,,,,,,,
"2009;156;""China"";""04"";""Dairy produce; birds' eggs; natural honey; edible products of animal origin"," not elsewhere specified or included"";62241",,,,,,,,,
"2009;170;""Colombia"";""04"";""Dairy produce; birds' eggs; natural honey; edible products of animal origin"," not elsewhere specified or included"";1433",,,,,,,,,
"2009;188;""Costa Rica"";""04"";""Dairy produce; birds' eggs; natural honey; edible products of animal origin"," not elsewhere specified or included"";4382052",,,,,,,,,
"2009;203;""Czech Rep."";""04"";""Dairy produce; birds' eggs; natural honey; edible products of animal origin"," not elsewhere specified or included"";60250",,,,,,,,,
"2009;208;""Denmark"";""04"";""Dairy produce; birds' eggs; natural honey; edible products of animal origin"," not elsewhere specified or included"";371606",,,,,,,,,
"2009;251;""France"";""04"";""Dairy produce; birds' eggs; natural honey; edible products of animal origin"," not elsewhere specified or included"";362724",,,,,,,,,
"2009;276;""Germany"";""04"";""Dairy produce; birds' eggs; natural honey; edible products of animal origin"," not elsewhere specified or included"";1470941",,,,,,,,,
"2009;381;""Italy"";""04"";""Dairy produce; birds' eggs; natural honey; edible products of animal origin"," not elsewhere specified or included"";62967",,,,,,,,,
"2009;422;""Lebanon"";""04"";""Dairy produce; birds' eggs; natural honey; edible products of animal origin"," not elsewhere specified or included"";1575",,,,,,,,,
"2009;484;""Mexico"";""04"";""Dairy produce; birds' eggs; natural honey; edible products of animal origin"," not elsewhere specified or included"";1251",,,,,,,,,
"2009;490;""Other Asia"," nes (Taiwan)"";""04"";""Dairy produce; birds' eggs; natural honey; edible products of animal origin"," not elsewhere specified or included"";93592",,,,,,,,
"2009;528;""Netherlands"";""04"";""Dairy produce; birds' eggs; natural honey; edible products of animal origin"," not elsewhere specified or included"";667038",,,,,,,,,
"2009;554;""New Zealand"";""04"";""Dairy produce; birds' eggs; natural honey; edible products of animal origin"," not elsewhere specified or included"";22427635",,,,,,,,,
"2009;616;""Poland"";""04"";""Dairy produce; birds' eggs; natural honey; edible products of animal origin"," not elsewhere specified or included"";208",,,,,,,,,
"2009;699;""India"";""04"";""Dairy produce; birds' eggs; natural honey; edible products of animal origin"," not elsewhere specified or included"";256338",,,,,,,,,
"2009;724;""Spain"";""04"";""Dairy produce; birds' eggs; natural honey; edible products of animal origin"," not elsewhere specified or included"";301737",,,,,,,,,
